train_acc val_acc
31.964 62.540
53.887 71.058
57.325 76.843
61.406 79.631
64.340 80.689
66.043 82.588
67.270 82.155
68.213 83.686
68.168 84.888
67.950 84.054
67.722 86.370
68.332 85.721
67.926 85.729
66.971 86.346
66.565 86.218
65.632 85.304
64.676 85.128
63.233 84.776
62.862 85.561
62.261 86.763
62.195 85.633
60.859 85.232
60.267 85.577
59.355 85.264
59.439 85.264
57.636 84.696
56.941 84.647
57.455 84.415
56.622 85.761
55.369 84.920
55.881 84.439
55.052 85.417
53.617 85.120
54.070 84.872
53.258 84.984
52.493 84.183
52.277 85.489
52.658 84.655
51.764 84.832
52.128 84.944
52.274 84.255
52.041 85.152
51.933 85.184
52.290 84.647
51.583 84.968
51.767 85.056
51.347 85.048
50.996 85.016
50.769 84.856
51.532 84.784
51.642 84.607
51.377 85.248
50.013 84.992
