train_acc val_acc
29.932 57.804
52.691 70.761
64.192 75.833
68.079 80.873
70.377 82.981
72.948 84.543
74.082 84.599
74.856 86.466
75.414 86.394
75.742 86.683
75.715 87.444
76.528 87.011
76.577 87.644
76.076 87.676
76.166 87.564
75.710 88.405
75.767 88.133
74.925 87.748
74.464 87.540
74.121 87.845
73.592 88.013
73.132 88.590
72.465 88.405
71.579 88.429
70.991 87.372
70.338 87.989
69.755 87.268
69.736 87.652
69.351 88.117
68.898 87.684
68.656 88.157
68.347 87.155
68.569 88.381
68.110 88.325
68.403 88.630
67.997 88.718
67.568 88.277
67.155 88.141
66.486 88.245
66.518 88.021
66.236 88.301
65.891 88.365
66.155 88.325
66.059 87.893
65.427 87.732
